English,Malayalam,length_eng_sentence,length_mal_sentence
merry christmas,ക്രിസ്തുമസ് ആശംസകള്,2,2
you should have listened to me,നീ ഞാൻ പറഞ്ഞത് കേൾക്കണമായിരുന്നു,6,4
you don't know who i am,ഞാൻ ആരാണെന്ന് നിനക്കറിയില്ല,6,3
there are things in this world which simply cannot be expressed in the form of words,ഈ ലോകത്ത് വാക്കുകൾ കൊണ്ട് വിവരിക്കാൻ പറ്റാത്ത പലതും ഉണ്ട്,16,8
since mario lied to me i don't speak to him anymore,മാരിയോ എന്നോട് കളവു പറഞ്ഞതിനാൽ മേലിൽ അവനോടു ഞാൻ സംസാരിക്കുകയില്ല,11,8
florence is the most beautiful city in italy,ഫ്ലോറൻസ് ഇറ്റലിയിലെ ഏറ്റവും മനോഹരമായ നഗരമാണ്,8,5
you should have come earlier,നീ നേരത്തെ വരണമായിരുന്നു,5,3
have you finished it,നീ അത് തീർത്തോ,4,3
you must return the book to him,നീ ഈ പുസ്തകം അവന് തിരിച്ചു നൽകണം,7,6
did you leave the window open,നീ ജനാല തുറന്നിട്ടിരുന്നോ,6,3
i like the way you smile,എനിക്ക് നീ ചിരിക്കുന്ന രീതി ഇഷ്ടമാണ്,6,5
there are several spelling errors in your essay,നിന്റെ ഉപന്യാസത്തിൽ വളരെയധികം അക്ഷരതെറ്റുകളുണ്ട്,8,4
i didn't know that you were in this town,നിങ്ങൾ ഈ പട്ടണത്തിലുണ്ടായിരുന്നുവെന്ന് എനിക്ക് അറിയില്ലായിരുന്നു,9,5
hunger drove him to steal,വിശപ്പ് അവനെ മോഷ്ടിക്കാന് പ്രേരിപ്പിച്ചു,5,4
how long is the golden gate bridge,ഗോൾഡൻ ഗേറ്റ് ബ്രിഡ്ജിന്റെ നീളം എത്രയാണ്,7,5
money is a good servant but a bad master,ധനം ഒരു നല്ല ഭൃത്യനാണ് പക്ഷേ ഒരു മോശം യജമാനനും,9,8
education is an investment in the future,വിദ്യാഭ്യാസം ഭാവിയിലേക്കുള്ള ഒരു നിക്ഷേപമാണ്,7,4
i'm willing to do the job if you cooperate,നിങ്ങള് സഹകരിച്ചാല് ഈ ജോലി ചെയ്യാന് എനിക്ക് താല്പര്യമുണ്ട്,9,7
fish cannot live out of water,മത്സ്യങ്ങള്ക്ക് വെള്ളത്തിന് പുറത്ത് ജീവിക്കാന് സാധിക്കില്ല,6,5
how did you spend your vacation,നീ എങ്ങനെ നിന്റെ അവധിക്കാലം ചെലവഴിച്ചു,6,5
i will gladly help you,ഞാന് സന്തോഷത്തോടെ നിങ്ങളെ സഹായിക്കാം,5,4
the school's closure was due to the snow,മഞ്ഞ് കാരണമാണ് സ്കൂൾ അടച്ചത്,8,4
it is dark outside,പുറത്ത് ഇരുട്ടാണ്,4,2
we obeyed the rules,ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു,4,3
scientists can easily compute the distance between planets,ശാസ്ത്രജ്ഞർക്ക് രണ്ട് ഗ്രഹങ്ങൾ തമ്മിലുള്ള ദൂരം എളുപ്പത്തിൽ കണക്കുകൂട്ടാൻ സാധിക്കും,8,8
the summer vacation ended all too soon,വേനൽ അവധിക്കാലം വളരെ പെട്ടെന്ന് അവസാനിച്ചു,7,5
english is easy to learn,ഇംഗ്ലീഷ് പഠിക്കാന് എളുപ്പമാണ്,5,3
do you have an english dictionary,നിങ്ങളുടെ കൈയ്യിൽ ഒരു ഇംഗ്ലീഷ് നിഘണ്ടുവുണ്ടോ,6,5
don't attempt two things at a time,രണ്ടു കാര്യങ്ങള് ഒരേസമയം ചെയ്യാന് ശ്രമിക്കരുത് ,7,6
that might be the most painful experience in my life,എന്റെ ജീവിതത്തിലെ ഏറ്റവും വേദനാജനകമായ അനുഭവം അതായിരിക്കും,10,6
we plan to stay a week,ഞങ്ങൾ ഒരാഴ്ച തങ്ങാനാണ് ആലോചിക്കുന്നത്,6,4
the doctor suggested that he give up smoking,പുകവലി നിര്ത്താന് ഡോക്ടര് അവനെ നിര്ദ്ദേശിച്ചു,8,5
i couldn't recognize him at first,എനിക്ക് ആദ്യം അവനെ തിരിച്ചറിയാൻ കഴിഞ്ഞില്ല,6,5
i am beginning to understand,ഞാൻ മനസ്സിലാക്കാൻ തുടങ്ങുന്നു,5,3
london was bombed several times,ലണ്ടന് പല തവണ ബോംബ്‌ ചെയ്യപ്പെട്ടു,5,5
russia is facing great financial difficulties,റഷ്യ വളരെ വലിയ സാമ്പത്തിക പ്രതിസന്ധി നേരിടുകയാണ്,6,6
if you like i will teach you to play chess,നിനക്കിഷ്ടമാണെങ്കിൽ ഞാൻ നിന്നെ ചെസ്സ് കളിക്കാൻ പഠിപ്പിക്കാം,10,6
i can't sleep well,എനിക്ക് നന്നായി ഉറങ്ങാന് പറ്റുന്നില്ല,4,4
walk slowly,പതുക്കെ നടക്കുക,2,2
the game will be called off if it rains tomorrow,നാളെ മഴ പെയ്യുകയാണെങ്കിൽ മത്സരം ഉപേക്ഷിക്കും,10,5
if you had left home a little earlier you would have been in time,നീ വീട്ടിൽ നിന്ന് കുറച്ച് നേരത്തെ പുറപ്പെട്ടിരുന്നുവെങ്കിൽ നിനക്ക് സമയത്ത് എത്താമായിരുന്നു,14,9
i'll think about it,ഞാൻ അതിനെക്കുറിച്ച് ആലോചിക്കാം,4,3
i'll call you some other time,ഞാൻ നിന്നെ പിന്നെ എപ്പോഴെങ്കിലും വിളിക്കാം,6,5
bob helped me,ബോബ് എന്നെ സഹായിച്ചു,3,3
i sprained my finger while playing volleyball,വോളിബോൾ കളിക്കുന്നതിനിടെ എന്റെ വിരൽ ഉളുക്കി,7,5
it is cheaper to go by bus,ബസ്സില് പോകുന്നതാണ് ലാഭം,7,3
a basketball team consists of five players,ഒരു ബാസ്കറ്റ് ബോൾ ടീമിൽ അഞ്ചു കളിക്കാരുണ്ട്,7,6
thank you for inviting me to the party,എന്നെ വിരുന്നിലേക്ക് ക്ഷണിച്ചതിന് നന്ദി,8,4
it is bad manners to eat with a knife,കത്തി ഉപയോഗിച്ച് കഴിക്കുന്നത് ഒരു മോശം ശീലമാണ്,9,6
tom is growing a mustache,ടോം മീശ വളർത്തുകയാണ്,5,3
tom was sitting in the front of the bus,ടോം ബസ്സിന്റെ മുമ്പിൽ ഇരിക്കുകയായിരുന്നു,9,4
tom lived in japan for ten years,ടോം ജപ്പാനില് പത്തു വര്ഷം ജീവിച്ചു,7,5
where does it hurt,എവിടെയാണ് വേദനിക്കുന്നത്,4,2
i didn't go out because it was very cold,വളരെ തണുപ്പായതിനാൽ ഞാൻ പുറത്തു പോയില്ല,9,5
i remember meeting you somewhere,ഞാൻ നിങ്ങളെ എവിടെയോ കണ്ടതായി ഓർക്കുന്നു,5,5
nothing would persuade him,ഒന്നിനും അവനെ സ്വാധീനിക്കാന് കഴിയുകയില്ല,4,4
shut the door,ആ വാതിൽ അടയ്ക്കൂ,3,3
the door was locked from within,ആ വാതില് അകത്തു നിന്ന് പൂട്ടിയിരിക്കുകയായിരുന്നു,6,5
aren't you fond of playing tennis,നിനക്ക് ടെന്നീസ് കളിക്കാൻ ഇഷ്ടമാണോ,6,4
under the table was a black cat,മേശക്കടിയിൽ ഒരു കറുത്ത പൂച്ചയുണ്ടായിരുന്നു,7,4
at last they came to a decision,അവസാനം അവർ ഒരു തീരുമാനത്തിൽ എത്തി,7,5
at last he came,അവസാനം അവൻ വന്നു,4,3
no one could find the cave,ആർക്കും ഗുഹ കണ്ടെത്താനായില്ല,6,3
no one ever saw such a thing,ആരും അങ്ങനെയൊരു സാധനം കണ്ടിട്ടേയില്ല,7,4
whoever comes don't open the door,ആര് വന്നാലും വാതില് തുറക്കണ്ട,6,4
do you know who conquered mt everest first,എവറസ്റ്റ് കൊടുമുടി ആദ്യമായി കീഴടക്കിയതാരാണെന്ന് നിനക്കറിയാമോ,8,5
the ostrich has wings but it cannot fly,ഒട്ടകപ്പക്ഷിക്ക് ചിറകുകളുണ്ട് പക്ഷേ അതിന് പറക്കാന് സാധിക്കില്ല,8,6
that's impossible,അത് അസാധ്യമാണ്,2,2
give it to me please,ദയവായി അതെനിക്കു തരൂ,5,3
it happened between eight and ten,എട്ടിനും പത്തിനുമിടയ്ക്കാണ് അതു സംഭവിച്ചത്,6,4
it's a dictionary,അതൊരു നിഘണ്ടുവാണ്,3,2
it was all our fault,എല്ലാം നമ്മുടെ തെറ്റാണ്,5,3
that is not your knife,അത് നിന്റെ കത്തിയല്ല,5,3
it is no use arguing about it,അതിനെപ്പറ്റി തര്ക്കിച്ചിട്ട് ഒരു കാര്യവുമില്ല,7,4
i have heard the story,ഞാൻ ഈ കഥ കേട്ടിട്ടുണ്ട്,5,4
the medicine saved her life,ആ മരുന്ന് അവളുടെ ജീവന് രക്ഷിച്ചു,5,5
the tree grows very quickly,ഈ മരം വളരെ പെട്ടെന്ന് വളരും,5,5
the cat was scared by an unfamiliar noise,അപരിചിതമായ ശബ്ദം കേട്ട പൂച്ച ഭയന്നു,8,5
cross the road with care,റോഡ് മുറിച്ചു കടക്കുമ്പോൾ സൂക്ഷിക്കുക,5,4
the crane was standing on one leg,ആ കൊക്ക് ഒറ്റക്കാലിൽ നിൽക്കുകയായിരുന്നു,7,4
the town grew into a city,ആ പട്ടണം ഒരു നഗരമായ് വളർന്നു,6,5
his explanation was not satisfactory,അവന്റെ വിശദീകരണം തൃപ്തികരമല്ലായിരുന്നു,5,3
