Hindi,English
क्या तुम इसे राज़ रख सकते हो,can you keep it a secret
आप कहाँ बैठना चाहेंगे,where would you like to sit
मेरे पास एक कुत्ता है।,i have a dog
शहर में सबसे अच्छा होटल कौन सा है,which is the best hotel in the town
इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं,what movies are playing this week
मुझे पियानो बजाना पसंद है।,i like playing the piano
इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।,london the capital of england is on the thames
तुम्हें इन में से जो भी पसंद है ख़रीद लो मगर तुम दोनों नहीं ख़रीद सकते।,you can buy whichever you like but not both
यह एक किताब है।,this is a book
यह किताब है।,this is a book
यह किताब है।,it's this book
यह मेरा कुत्ता है।,this is my dog
पर मुझे कबाब पकाना नहीं आता,but i don't know how to cook kebabs
जितना जल्दी उतना अच्छा।,the sooner the better
यह जैकेट महंगा नहीं है बहुत सस्ता है।,this jacket isn't expensive it's very cheap
क्या मैं कमरा साफ़ कर सकती हूँ,should i clean my room
मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।,i find foreign languages very interesting
इस लड़के के जेब में एक सेव है।,the boy has an apple in his pocket
इस लड़के के जेब में एक सेव है।,there's an apple in this boy's pocket
क्या तुम मुझे उड़ना सिखा सकते हो,can you teach me how to fly
क्या तुम मुझे चोरी करना सिखा सकते हो,can you teach me how to steal
क्या तुम मुझे सिखा सकते हो,can you teach me
उसे टीवी पर टेनिस देखना बहुत पसंद है।,she loves watching tennis matches on tv
कल का मौसम कैसा होगा कहना मुश्किल है।,it's hard to say what the weather will be like tomorrow
यह क्या है,what is this
यह क्या है,what's this
अगर तुम अपने आप पर ऐसी चीज़ें लिखवाते हो जो तुम खुद भी नहीं समझ सकते तो तुम क्या करोगे अगर तुम्हें अनपेक्षित परिणाम मिलेंगे,when you have things you don't understand written on you what will you do if you get unexpected results
उसे बहुत सारा पैसा मिला।,he got a lot of money
आपका नाम क्या है,what is your name
आपका नाम क्या है,what's your name
उसने अभी अभी खाना खाया है वह भूखा कतई नहीं को सकता।,he just had food he cannot be hungry
उसको एक ही काम से दिलचस्पी है और वह है पैसा इकट्ठा करना।,her only interest is the accumulation of money
खाना खाने के बाद दाँतों को साफ़ करो।,brush your teeth after meals
खाना खाने के बाद दाँतों को ब्रश करो।,brush your teeth after meals
उसने विस्तृत रूप से अपनी योजना समझाई।,he explained his plans in detail
मैं तुरंत उसके वहाँ गया।,i went to his place straight away
उसने सिगरेट पीना छोड़ने का फ़ैसला किया।,he decided to quit smoking
चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।,the thieves pulled open all the drawers of the desk in search of money
यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।,this is the village where my father was born
तुम्हें इसे राज़ रखना चहिए था।,you should have kept it secret
वे टैक्स सुधार क़ानून के पक्ष में हैं।,they are in favor of the reform of the tax laws
कल मेरा जन्मदिन था।,yesterday was my birthday
